Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
El Salvador,SLV,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,44.96349668,45.21787395,45.48330509,45.72042353,45.86612331,45.89351307,46.02735559,46.02006918,45.915814,45.77361345,45.61962915,45.46480572,45.31711844,45.16866914,44.99859615,44.79475254,44.6238754,44.44293341,44.25771036,44.065909,43.85469908,43.60634961,43.3331145,43.04615983,42.75653942,42.46295227,41.92431296,41.41524768,40.92709643,40.4519323,39.995131,39.45890811,38.97206647,38.54087723,38.16441771,37.83299577,37.58501411,37.34218497,37.1090584,36.88086906,36.64104026,36.33301535,35.99513664,35.62169789,35.21431748,34.77426021,34.11727047,33.50954255,32.91631902,32.29719736,31.64069455,30.98144968,30.26268519,29.54078074,28.89796681,28.37174417,27.85160749,27.44562333,27.13208091,26.85844526,26.59058725
El Salvador,SLV,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,51.69495692,51.44969437,51.20046725,50.9845245,50.86116602,50.85578948,50.7238114,50.73432795,50.84371546,50.99445376,51.16017455,51.29505931,51.42746545,51.56417197,51.72513583,51.92168276,52.04899256,52.1893032,52.3350822,52.48661699,52.65496498,52.83514102,53.03826666,53.25283276,53.46705577,53.68204591,54.124573,54.53548736,54.92471277,55.30227078,55.66400428,56.11186631,56.51575802,56.86383897,57.14962767,57.37801585,57.50234888,57.61321578,57.7075649,57.79161675,57.88257549,58.02054191,58.18619367,58.3877718,58.6281045,58.90860116,59.39371639,59.84382089,60.29008944,60.76781116,61.28600594,61.81336393,62.40105881,62.98973679,63.49359378,63.87187034,64.22193459,64.44966802,64.58082908,64.67197217,64.75846816
El Salvador,SLV,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.341546399,3.332431673,3.316227664,3.295051974,3.272710667,3.250697448,3.248833013,3.245602874,3.240470539,3.231932785,3.220196305,3.240134969,3.255416105,3.267158897,3.276268022,3.283564702,3.327132041,3.367763385,3.407207441,3.447474014,3.490335939,3.558509366,3.62861884,3.701007402,3.776404809,3.855001826,3.95111404,4.049264958,4.148190804,4.245796929,4.340864719,4.429225573,4.512175511,4.595283798,4.685954614,4.788988381,4.912637009,5.044599258,5.183376698,5.327514189,5.476384254,5.64644274,5.818669685,5.990530319,6.157578019,6.317138631,6.489013141,6.646636564,6.793591534,6.934991489,7.073299509,7.205186386,7.336255994,7.469482467,7.608439415,7.756385487,7.926457916,8.104708642,8.287090005,8.469582569,8.650944582
El Salvador,SLV,Population growth (annual %),SP.POP.GROW,..,2.860809536,2.928180949,2.959238428,2.948492983,2.907532648,2.852856584,2.79692752,2.744090952,2.69792,2.654868404,2.606418081,2.546825846,2.476330901,2.39232956,2.29917964,2.20948821,2.118491394,2.013226956,1.889736991,1.758025876,1.625226861,1.507852632,1.418565775,1.366394908,1.341028375,1.318764734,1.294811369,1.28897507,1.303207439,1.326886237,1.359127706,1.378222919,1.359740868,1.292733409,1.191844549,1.083913181,0.985385061,0.891824486,0.80858682,0.734629859,0.661385876,0.591095778,0.534217202,0.494697409,0.469082939,0.449589964,0.433559245,0.4242186,0.421679553,0.424566262,0.430677508,0.439491797,0.450320731,0.462504407,0.475379939,0.489163801,0.501983868,0.50927343,0.509699114,0.504663023
El Salvador,SLV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.14315796,..,..,..,..,..,..,..,..,..,..,..,..,..,83.5594635,82.02863312,83.95130157,84.10289001,84.49272156,85.49398804,..,86.76757813,..,87.96984863,88.14176941,88.48271179,89.00859833,89.13791656,..
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,274.1752595,282.1897331,288.1869903,290.025603,293.3879515,308.4398701,314.6156825,326.7697702,363.8296353,410.2895015,453.4924515,548.1520223,678.0392587,706.6155011,767.799244,778.448009,736.5911467,717.5438904,729.7387104,751.7250214,769.8035753,753.9799282,781.0600073,816.2199828,840.7123359,914.1317947,983.1815042,1073.310253,1216.700841,1380.708375,1585.108896,1684.784505,1778.836337,1886.359966,1930.627457,2001.540049,2072.301591,2124.10182,2209.497245,2278.43033,2428.568879,2631.822739,2786.157774,2933.39424,2858.483344,2983.228806,3266.010978,3428.409332,3509.526536,3589.042885,3705.579704,3805.995686,3910.254403,4052.624775,4167.730939,3798.636521
Equatorial Guinea,GNQ,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,37.54743805,37.845211,38.19898634,38.5406015,38.77310452,38.87441187,39.1025234,39.22101511,39.23276544,39.09736842,38.7368331,38.91201488,38.86135108,38.64489314,38.42556186,38.36864738,38.17681742,38.14607113,38.26634067,38.52012563,38.98787256,39.44903811,39.82749534,40.19422075,40.53542129,40.77638746,41.48738697,41.99555592,42.36089133,42.66735527,42.95351966,42.9524573,43.01332988,43.05816439,42.98348146,42.76241626,42.39928817,41.91924841,41.42136324,40.99094144,40.64908006,40.36896081,40.08207976,39.8529703,39.69152618,39.57547012,39.32881748,39.07363753,38.86366805,38.68482552,38.50243578,38.35839786,38.13958811,37.92345503,37.7278515,37.52781182,37.44819697,37.28504392,37.11659887,36.95679749,36.7792243
Equatorial Guinea,GNQ,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,56.76391222,56.47027911,56.14696113,55.85451128,55.68920027,55.66920014,55.49265271,55.44603996,55.51729551,55.73519737,56.16779941,55.94419868,55.96008304,56.16576504,56.4166143,56.57505864,56.73449964,56.77455855,56.70023949,56.53525085,56.20236147,55.86404109,55.58690229,55.29937769,55.01580446,54.79981143,54.14161177,53.6752476,53.34425424,53.07338547,52.82355411,52.85859172,52.84864041,52.86239536,52.99521184,53.27114468,53.69688652,54.24094993,54.80418699,55.30329855,55.71718678,56.0669721,56.42694841,56.72978342,56.96527926,57.15396879,57.47817707,57.80850859,58.09407091,58.34999817,58.61086708,58.83095051,59.12958899,59.42282377,59.68464114,59.93669175,60.04345035,60.23120407,60.42552379,60.6186937,60.83935324
Equatorial Guinea,GNQ,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.688649724,5.684509894,5.654052529,5.604887218,5.537695201,5.456387984,5.404823884,5.332944926,5.249939047,5.167434211,5.095367489,5.143786432,5.178565877,5.189341824,5.157823841,5.05629398,5.088682943,5.079370323,5.033419838,4.944623523,4.809765974,4.686920802,4.585602361,4.506401563,4.44877425,4.423801112,4.371001266,4.329196488,4.294854429,4.259259259,4.222926229,4.188950983,4.138029718,4.079440252,4.021306706,3.966439062,3.903825315,3.839801663,3.774449768,3.705760008,3.633733159,3.564067086,3.490971834,3.417246281,3.343194565,3.270561081,3.193005446,3.117853879,3.042261047,2.965176315,2.886697137,2.810651637,2.730822903,2.653721202,2.587507362,2.535496437,2.508352672,2.483752007,2.457877347,2.424508808,2.381422467
Equatorial Guinea,GNQ,Population growth (annual %),SP.POP.GROW,..,1.341330767,1.317856714,1.433507313,1.718573626,2.077191295,2.576053216,2.878736991,2.58132539,1.519379063,-0.004605369,-1.703318015,-3.176553709,-4.179999309,-4.378176597,-3.817400833,-3.112342474,-2.370507364,-1.028979216,0.953380777,3.234219945,5.616475732,7.386856038,7.955668225,7.301581257,6.016997448,4.690101581,3.711325258,3.084247298,2.906168024,3.044041827,3.205787931,3.278281737,3.378252599,3.496452733,3.621585967,3.768127788,3.918574371,4.025731854,4.081912968,4.111038555,4.117746929,4.143998224,4.205940428,4.315088089,4.443763255,4.559658305,4.631940298,4.654916813,4.625126705,4.558597536,4.478446124,4.394052518,4.291884317,4.172280493,4.042896478,3.91079791,3.781106635,3.653340932,3.528840253,3.407619459
